strain,sequenced,genome_length_bp,n_small_circular_contigs,n_prophages_depht,n_prophages_html,prophage_names,prophage_lengths,prophage_coords,n_defense_df,n_rm_df,rm_subtypes,df_system_types,df_subtypes,n_defense_padloc,n_rm_padloc,n_rm_dedup,total_defense_systems,assembly_type,species,subspecies,institution,country,eop_phages_tested,eop1_full_count,eop1_fraction,dcc,prophage_clusters,n_prophage_clusters,eop1_phages,eop1_count,eop_partial_phages,eop_partial_count,morphology,morphology_flag,...36,killing_phages,killing_count,killing_flag,phage_susceptible,phage_partial_infection,n_defense_islands,n_defense_island_systems,defense_island_types,defense_island_spots
GD131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,The Children’s Hospital at Westmead,Australia,25,2,0.08,NA,NA,0,Muddy|Muddy_HRM-GD04,2,Fred313_cpm1|Isca_cpm1|phiGD21-1|Elmo_HRMmc(2)155,4,S,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,0,0,NA,NA
GD132,TRUE,5092707,0,1,1,prophiGD132_9-1,55534,51727-106890,7,3,RM_I|RM_IIG,AbiAlpha|Armada|RM_Type_I|RM_Type_IIG|Thoeris|Wadjet,AbiAlpha|Armada_Type_II|N6_RM_Type_I|N6_RM_Type_IIG|Thoeris_VII|Wadjet_I,9,1,2,16,NA,M. abscessus,abscessus,The Children’s Hospital at Westmead,Australia,25,2,0.08,DCC2,IC,1,Muddy|Muddy_HRM-GD04,2,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03,2,S,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,2,2,Armada|RM_Type_I,spot_53|spot_9
GD133,TRUE,5104649,0,1,1,prophiGD133-1,55534,3587991-3643154,7,3,RM_I|RM_IIG,AbiAlpha|Armada|RM_Type_I|RM_Type_IIG|Thoeris|Wadjet,AbiAlpha|Armada_Type_II|N6_RM_Type_I|N6_RM_Type_IIG|Thoeris_VII|Wadjet_I,10,1,2,17,NA,M. abscessus,abscessus,The Children’s Hospital at Westmead,Australia,25,2,0.08,DCC2,IC,1,Muddy|Muddy_HRM-GD04,2,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03,2,No Morphology,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,1,1,Thoeris,NA
GD134,TRUE,4911912,0,1,1,prophiGD134_9-1,54941,109717-164508,6,1,RM_III,AbiAlpha|CBASS|RM_Type_III|RloC|RosmerTA|Wadjet,AbiAlpha|CBASS_II_Phospholipase|N6_N4_RM_Type_III|RloC|RosmerTA|Wadjet_I,12,1,1,18,NA,M. abscessus,abscessus,The Children’s Hospital at Westmead,Australia,25,2,0.08,DCC4,A1,1,Muddy|Muddy_HRM-GD04,2,Fred313_cpm1|Isca_cpm1|phiGD21-1|Elmo_HRMmc(2)155,4,No Morphology,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,1,1,RM_Type_III,spot_55
GD135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Public Health Ontario,NA,32,0,0,NA,NA,0,NA,0,Muddy,1,No Morphology,TRUE,FALSE,NA,0,FALSE,TRUE,TRUE,0,0,NA,NA
GD136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Royal Brompton Hospital, UK",NA,32,0,0,NA,NA,0,NA,0,NA,0,No Morphology,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD137,TRUE,5323525,1,3,3,prophiGD137_5-1|prophiGD137_9-1|prophiGD137_9-2,54922|47085|60912,78625-133214|7780-54577|68587-129050,9,4,RM_I|RM_IIG,AbiAlpha|Armada|RM_Type_I|RM_Type_IIG|RloC|Thoeris|Wadjet,AbiAlpha|Armada_Type_II|N6_RM_Type_I|N6_RM_Type_IIG|RloC|Thoeris_VII|Wadjet_I,11,1,3,20,NA,M. abscessus,abscessus,"Royal Brompton Hospital, UK",NA,25,2,0.08,DCC2,HG|HE|HA,3,Muddy|Muddy_HRM-GD04,2,NA,0,R,FALSE,TRUE,Muddy,1,TRUE,TRUE,FALSE,2,2,RM_Type_I|Thoeris,spot_49|spot_9
GD138,TRUE,4933770,0,1,1,prophiGD138_3-1,77153,657287-731469,6,0,NA,AbiAlpha|AbiE|Dag|PhiR47_GevAT|VP1853|Wadjet,AbiAlpha|AbiE|Dag|PhiR47_GevAT|VP1853|Wadjet_I,9,0,0,15,NA,M. abscessus,abscessus,"Royal Brompton Hospital, UK",NA,25,4,0.16,DCC4,M,1,Itos|D29_HRM_GD40|Faith1|Faith1GD69,4,CrimD del del|D29,2,S,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,2,2,AbiE|Wadjet,NA
GD139,TRUE,5277343,2,3,3,prophiGD139_10-1|prophiGD139_15-1|prophiGD139_15-2,54412|63199|47085,69469-123405|14719-77469|91479-138276,9,4,RM_I|RM_IIG,AbiAlpha|Armada|RM_Type_I|RM_Type_IIG|RloC|Thoeris|Wadjet,AbiAlpha|Armada_Type_II|N6_RM_Type_I|N6_RM_Type_IIG|RloC|Thoeris_VII|Wadjet_I,11,1,3,20,NA,M. abscessus,abscessus,"Royal Brompton Hospital, UK",NA,25,2,0.08,DCC2,HG|HA|HE,3,Muddy|Muddy_HRM-GD04,2,NA,0,R,FALSE,TRUE,Muddy,1,TRUE,TRUE,FALSE,4,4,RM_Type_I|RM_Type_IIG|RloC|Wadjet,spot_22|spot_23|spot_9
GD14,TRUE,5024103,0,2,2,prophiGD14_1-1|prophiGD14_11-1,54460|65029,714967-768922|128510-193226,6,0,NA,AbiAlpha|Aristaios|CBASS|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dnd_ABCDE|Hna|Wadjet_I,12,0,0,18,NA,M. abscessus,abscessus,UPMC Pittsburgh,NA,19,2,0.1053,DCC1,HD|HA,2,phiGD89A-1|phiGD21-1,2,GD59SF/phiGD57-1,1,R,FALSE,FALSE,NA,0,FALSE,FALSE,TRUE,4,4,AbiAlpha|Aristaios|CBASS|Wadjet,spot_3|spot_32
GD140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,St. George's University of London,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,R,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,St. George's University of London,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,R,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,St. George's University of London,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,R,FALSE,FALSE,NA,0,FALSE,TRUE,FALSE,0,0,NA,NA
GD143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,St. George's University of London,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,R,FALSE,FALSE,NA,0,FALSE,TRUE,FALSE,0,0,NA,NA
GD144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,St. George's University of London,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,R,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,University College London Hospitals,NA,32,0,0,NA,NA,0,NA,0,NA,0,R,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,University College London Hospitals,NA,32,2,0.0625,NA,NA,0,Muddy|Muddy_HRM-GD04,2,NA,0,No Morphology,FALSE,FALSE,NA,0,FALSE,TRUE,FALSE,0,0,NA,NA
GD147A,TRUE,5132714,0,0,0,NA,NA,NA,7,1,RM_IIG,AbiAlpha|Aristaios|Dag|Dnd|Hna|RM_Type_IIG|Wadjet,AbiAlpha|Aristaios|Dag|Dnd_ABCDE|Hna|N6_RM_Type_IIG|Wadjet_I,12,0,1,19,NA,M. abscessus,abscessus,University College London Hospitals,NA,31,0,0,DCC1,NA,0,NA,0,Itos|Faith1|Faith1GD69,3,S,FALSE,NA,NA,NA,NA,NA,TRUE,3,4,AbiAlpha|Dag|Dnd|RM_Type_IIG,spot_15|spot_34
GD147B,TRUE,5132831,0,0,0,NA,NA,NA,7,1,RM_IIG,AbiAlpha|Aristaios|Dag|Dnd|Hna|RM_Type_IIG|Wadjet,AbiAlpha|Aristaios|Dag|Dnd_ABCDE|Hna|N6_RM_Type_IIG|Wadjet_I,12,0,1,19,NA,M. abscessus,abscessus,University College London Hospitals,NA,32,0,0,DCC1,NA,0,NA,0,Itos|Faith1|Faith1GD69,3,S,FALSE,NA,NA,NA,NA,NA,TRUE,3,4,AbiAlpha|Aristaios|Dnd|Hna,NA
GD148,TRUE,5134890,0,0,0,NA,NA,NA,7,1,RM_IIG,AbiAlpha|Aristaios|Dag|Dnd|Hna|RM_Type_IIG|Wadjet,AbiAlpha|Aristaios|Dag|Dnd_ABCDE|Hna|N6_RM_Type_IIG|Wadjet_I,12,0,1,19,NA,M. abscessus,abscessus,"Boston, MA",NA,32,0,0,DCC1,NA,0,NA,0,Muddy|Muddy_HRM-GD04,2,R,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,2,3,AbiAlpha|Dag|RM_Type_IIG,spot_15
GD149,TRUE,4905791,0,1,1,prophiGD149_4-1,44221,67736-111817,7,1,RM_II,AbiAlpha|CBASS|DpnI|McrBC|Other_Type_IV|RM_Type_II|Wadjet,AbiAlpha|CBASS_II_Phospholipase|DpnI|McrBC|N6_N4_RM_Type_II_HATPase|Other_Type_IV|Wadjet_I,7,0,1,14,NA,M. abscessus,massiliense,"Cincinnati Children's Hospital, OH",USA,32,2,0.0625,Non-DCC,HH,1,Muddy|Muddy_HRM-GD04,2,phiGD57-1,1,R,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,2,4,CBASS|DpnI|McrBC|RM_Type_II,spot_39
GD15,TRUE,5068576,0,1,1,prophiGD15_4-1,70587,292354-362488,7,0,NA,AbiAlpha|Aristaios|CBASS|Dnd|Hna|SEFIR|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dnd_ABCDE|Hna|SEFIR|Wadjet_I,12,0,0,19,NA,M. abscessus,abscessus,UPMC Pittsburgh,NA,19,3,0.1579,DCC1,HA,1,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03|phiGD89A-1,3,phiGD22-1|GD59SF/phiGD57-1,2,R,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,3,3,AbiAlpha|Aristaios|Wadjet,spot_32|spot_49
GD150A,TRUE,5322799,0,2,2,prophiGD150A_13-1|prophiGD150A_7-1,50634|64749,17831-66680|193447-257087,6,0,NA,AbiAlpha|Aristaios|CBASS|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dnd_ABCDE|Hna|Wadjet_I,11,0,0,17,NA,M. abscessus,abscessus,Brody School of Medicine at East Carolina University,NA,32,3,0.0938,DCC1,A1|HA,2,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03|D29_HRM_GD40,3,Itos|phiGD57-1|phiGD17-1|phiGD89A-1|phiGD34-2|phiGD21-1|GD59SF/phiGD57-1|Faith1|Faith1GD69,9,R,FALSE,NA,NA,NA,NA,NA,TRUE,2,2,Hna|Wadjet,spot_32|spot_59
GD150B,TRUE,5336534,0,2,2,prophiGD150B_2-1|prophiGD150B_2-2,50634|68360,1532290-1581139|1799870-1867781,6,0,NA,AbiAlpha|Aristaios|CBASS|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dnd_ABCDE|Hna|Wadjet_I,10,0,0,16,NA,M. abscessus,abscessus,Brody School of Medicine at East Carolina University,NA,32,3,0.0938,DCC1,A1|HA,2,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03|D29_HRM_GD40,3,Itos|phiGD57-1|phiGD17-1|phiGD89A-1|phiGD20-1|phiGD22-1|phiGD34-2|phiGD21-1|phiGD23-1|GD59SF/phiGD57-1|Faith1|Faith1GD69,12,R,FALSE,NA,NA,NA,NA,NA,TRUE,2,2,AbiAlpha|Aristaios,spot_32|spot_49
GD151,TRUE,4905028,0,0,0,NA,NA,NA,9,2,RM_III|RM_IIG,AbiAlpha|CBASS|Dag|RM_Type_IIG|RM_Type_III|RloC|RosmerTA|VP1853|Wadjet,AbiAlpha|CBASS_II_Phospholipase|Dag|N6_N4_RM_Type_III|N6_RM_Type_IIG|RloC|RosmerTA|VP1853|Wadjet_I,14,2,2,23,NA,M. abscessus,abscessus,"Winnipeg, MB, Canada",NA,32,0,0,DCC4,NA,0,NA,0,NA,0,S,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,4,7,CBASS|Dag|RM_Type_IIG|RM_Type_III|RloC|RosmerTA|VP1853,spot_0|spot_3|spot_34
GD152,TRUE,5174688,1,3,3,prophiGD152_15-1|prophiGD152_2-1|prophiGD152_4-1,58099|52874|54885,74-57921|438995-490363|94875-149634,6,0,NA,AbiAlpha|Aristaios|CBASS|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dnd_ABCDE|Hna|Wadjet_I,11,0,0,17,NA,M. abscessus,abscessus,Royal London Children's Hospital,NA,32,7,0.2188,DCC1,HA|HG|A1,3,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03|Itos|phiGD89A-1|phiGD21-1|Faith1|Faith1GD69,7,phiGD34-2,1,R,FALSE,TRUE,BPs,1,TRUE,TRUE,TRUE,1,1,CBASS,spot_3
GD153,TRUE,5121937,1,4,4,prophiGD153_2-1|prophiGD153_5-1|prophiGD153_6-1|prophiGD153_8-1,52827|44610|46220|52686,345359-397416|21661-65445|25471-71166|20109-72289,3,0,NA,AbiAlpha|Charlie_gp32|Wadjet,AbiAlpha|Charlie_gp32|Wadjet_I,8,0,0,11,NA,M. chelonae,NA,Brigham & Womens Hospital,USA,32,2,0.0625,NA,HC|HN|unclustered|HD,3,Muddy|Muddy_HRM-GD04,2,NA,0,R,FALSE,TRUE,Muddy,1,TRUE,TRUE,FALSE,0,0,NA,NA
GD154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Sansum Clinic and Cottage Health, CA",USA,32,0,0,NA,NA,0,NA,0,NA,0,No Morphology,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD155,TRUE,5059124,0,1,1,prophiGD155_2-1,76192,321726-397147,6,1,RM_I,AbiAlpha|CBASS|Lamassu-Fam|Other_Type_IV|RM_Type_I|Wadjet,AbiAlpha|CBASS_II_Phospholipase|Lamassu_Cap4|N6_RM_Type_I|Other_Type_IV|Wadjet_I,12,0,1,18,NA,M. abscessus,massiliense,"Columbia, SC",USA,32,0,0,DCC7,HK,1,NA,0,Muddy,1,S,FALSE,FALSE,NA,0,FALSE,FALSE,TRUE,4,4,Lamassu-Fam|Other_Type_IV|RM_Type_I|Wadjet,spot_13|spot_7
GD156,TRUE,5418698,0,0,0,NA,NA,NA,5,0,RM_II,Ceres|DRT-like_UG|Esos|Shedu|dCTPdeaminase,Ceres|Esos|Shedu|UG22|dCTPdeaminase,10,1,1,15,NA,M. intracellulare,NA,"Columbia, SC",USA,32,2,0.0625,NA,NA,0,Muddy|Muddy_HRM-GD04,2,NA,0,No Morphology,FALSE,TRUE,Muddy|ZoeJ,2,TRUE,TRUE,FALSE,0,0,NA,NA
GD157A,TRUE,5062015,1,1,1,prophiGD157A_13-1,61802,18050-79399,6,0,NA,AbiAlpha|Aristaios|CBASS|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dnd_ABCDE|Hna|Wadjet_I,10,0,0,16,NA,M. abscessus,abscessus,Montpellier France,NA,33,0,0,DCC1,HA,1,NA,0,Itos|phiGD24-3,2,S,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,2,2,AbiAlpha|Aristaios,spot_32|spot_49
GD157B,TRUE,5069264,0,1,1,prophiGD157B_3-1,61802,360963-422312,6,0,NA,AbiAlpha|Aristaios|CBASS|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dnd_ABCDE|Hna|Wadjet_I,11,0,0,17,NA,M. abscessus,abscessus,Montpellier France,NA,33,1,0.0303,DCC1,HA,1,D29_HRM_GD150,1,Itos|phiGD24-3|Faith1|Faith1GD69,4,R,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,4,4,AbiAlpha|Aristaios|CBASS|Hna,spot_3|spot_32|spot_49
GD158,TRUE,0,1,1,1,prophiGD158_1-1,53110,622029-674992,5,1,RM_IIG,AbiAlpha|DpnI|Other_Type_IV|RM_Type_IIG|Wadjet,AbiAlpha|DpnI|N6_RM_Type_IIG|Other_Type_IV|Wadjet_I,9,1,1,14,NA,M. abscessus,massiliense,Dayton Children's Hospital,USA,32,2,0.0625,Non-DCC,HC,1,Muddy|Muddy_HRM-GD04,2,NA,0,R,FALSE,TRUE,Muddy,1,TRUE,TRUE,FALSE,2,2,DpnI|Other_Type_IV,spot_54
GD159,TRUE,5136943,0,2,2,prophiGD159_1-1|prophiGD159_4-1,66431|87987,1569193-1635367|302983-388320,4,2,RM_I|RM_III,AbiAlpha|RM_Type_I|RM_Type_III|Wadjet,AbiAlpha|N6_N4_RM_Type_III|N6_RM_Type_I|Wadjet_I,10,0,2,14,NA,M. abscessus,massiliense,Public Health Ontario,NA,32,0,0,DCC3,AD|HC,2,NA,0,NA,0,S,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,4,4,AbiAlpha|RM_Type_I|RM_Type_III|Wadjet,spot_13|spot_36|spot_44
GD16,TRUE,5008370,0,1,1,prophiGD16_3-1,40064,46520-85959,4,1,RM_I,AbiAlpha|Butters_gp57r|RM_Type_I|Wadjet,AbiAlpha|Butters_gp57r|N6_RM_Type_I|Wadjet_I,7,0,1,11,NA,M. abscessus,massiliense,"Washington University, St Louis",NA,11,2,0.1818,DCC3,HB,1,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03,2,NA,0,R,FALSE,FALSE,NA,0,FALSE,TRUE,FALSE,2,2,Butters_gp57r|RM_Type_I,spot_13|spot_30
GD160,TRUE,5200231,0,3,3,prophiGD160_1-1|prophiGD160_1-2|prophiGD160_1-3,41599|64565|42361,288887-609304|586147-2014268|2011179-2053394,6,1,RM_III,AbiAlpha|Aristaios|Dnd|Hna|RM_Type_III|Wadjet,AbiAlpha|Aristaios|Dnd_ABCDE|Hna|N6_N4_RM_Type_III|Wadjet_I,9,0,1,15,NA,M. abscessus,abscessus,Massachussetts General Hospital,USA,32,0,0,DCC1,HB|HN|HH,3,NA,0,ZoeJdel43-45,1,R,FALSE,TRUE,ZoeJ,1,TRUE,FALSE,TRUE,4,4,Aristaios|Dnd|Hna|RM_Type_III,spot_28|spot_34|spot_49|spot_90
GD161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Massachussetts General Hospital,USA,32,0,0,NA,NA,0,NA,0,NA,0,No Morphology,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD162,TRUE,4889421,0,2,2,prophiGD162_2-1|prophiGD162_25-1,54460|34445,62863-116818|14924-48860,6,0,NA,AbiAlpha|Aristaios|CBASS|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|CBASS_I_Phospholipase|Dnd_ABCDE|Hna|Wadjet_I,12,0,0,18,NA,M. abscessus,abscessus,UPMC NewYork,USA,32,6,0.1875,DCC1,HD|HA,2,Muddy|Muddy_HRM-GD04|phiGD57-1|phiGD89A-1|phiGD34-2|phiGD21-1,6,Itos|D29_HRM_GD40|Faith1|Faith1GD69,4,R,FALSE,TRUE,Muddy|D29,2,TRUE,TRUE,TRUE,1,1,Hna,spot_32
GD163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Hospital Center University De Rouen,France,32,0,0,NA,NA,0,NA,0,phiGD57-1,1,R,FALSE,FALSE,NA,0,FALSE,FALSE,TRUE,0,0,NA,NA
GD164,TRUE,4965605,0,0,0,NA,NA,NA,8,1,RM_I,AbiAlpha|AbiD|BREX|Dag|RM_Type_I|RosmerTA|Thoeris|Wadjet,AbiAlpha|AbiD|BREX_I|Dag|N6_RM_Type_I|RosmerTA|Thoeris_XI|Wadjet_I,12,0,1,20,NA,M. abscessus,abscessus,Royal National Orthopaedic Hospital,United Kingdom,32,0,0,DCC5,NA,0,NA,0,NA,0,R,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,1,1,BREX,NA
GD165A,TRUE,4944431,0,3,3,prophiGD165A_11-1|prophiGD165A_2-1|prophiGD165A_9-1,48078|64402|60552,416-47961|487167-550013|85457-145648,5,2,RM_I|RM_IIG,AbiAlpha|RM_Type_I|RM_Type_IIG|Shedu|Wadjet,AbiAlpha|N6_RM_Type_I|N6_RM_Type_IIG|Shedu|Wadjet_I,12,1,2,17,NA,M. abscessus,massiliense,Great Ormond Street Hospital,NA,32,0,0,DCC3,HO|A1|IA,3,NA,0,NA,0,S,FALSE,NA,NA,NA,NA,NA,FALSE,4,5,AbiAlpha|RM_Type_I|RM_Type_IIG|Shedu|Wadjet,spot_13|spot_14|spot_39
GD165B,TRUE,4798938,0,3,3,prophiGD165B_2-1|prophiGD165B_3-1|prophiGD165B_6-1,48101|64402|60552,872163-920124|113386-176232|73147-133338,4,1,RM_I,AbiAlpha|AbiE|RM_Type_I|Wadjet,AbiAlpha|AbiE|N6_RM_Type_I|Wadjet_I,10,0,1,14,NA,M. abscessus,massiliense,Great Ormond Street Hospital,NA,32,0,0,DCC3,HO|A1|IA,3,NA,0,NA,0,S,FALSE,NA,NA,NA,NA,NA,FALSE,3,3,AbiE|RM_Type_I|Wadjet,spot_13
GD166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Great Ormond Street Hospital,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,No Morphology,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD167,TRUE,6093657,2,0,0,NA,NA,NA,7,1,RM_IIG|RM_IV,CBASS|Ceres|DS-29|Esos|PD-T7-2|RM_Type_IIG|Thoeris,CBASS_II_Phospholipase|Ceres|DS-29|Esos|N6_RM_Type_IIG|PD-T7-2|Thoeris_XI,15,1,2,22,NA,M. chimaera,NA,Great Ormond Street Hospital,NA,32,0,0,NA,NA,0,NA,0,NA,0,No Morphology,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Penn Medicine,USA,NA,NA,NA,NA,NA,0,NA,0,NA,0,No Morphology,FALSE,FALSE,NA,0,NA,NA,FALSE,0,0,NA,NA
GD169,TRUE,5181374,0,2,2,prophiGD169_1-1|prophiGD169_1-2,49619|56881,913912-962914|1320864-1376100,8,2,RM_II|RM_III,AbiAlpha|AbiD|Aristaios|Dnd|Hna|RM_Type_II|RM_Type_III|Wadjet,AbiAlpha|AbiD|Aristaios|Dnd_ABCDE|Hna|N6_N4_RM_Type_III|N6_RM_Type_II_PDDEXK|Wadjet_I,12,1,2,20,NA,M. abscessus,abscessus,Instituto Biofísika Spain,NA,33,0,0,DCC1,HC|HG,2,NA,0,NA,0,R,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,4,5,AbiAlpha|AbiD|Aristaios|RM_Type_III|Wadjet,spot_0|spot_32|spot_49
GD17,TRUE,5107403,0,2,2,prophiGD17-1|prophiGD17-2,51224|61802,1083215-1133922|1785944-1847293,6,0,NA,AbiAlpha|Aristaios|CBASS|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dnd_ABCDE|Hna|Wadjet_I,11,0,0,17,NA,M. abscessus,abscessus,The University of North Carolina at Chapel Hill,NA,31,3,0.0968,DCC1,HD|HA,2,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03|phiGD89A-1,3,GD59SF/phiGD57-1,1,R,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,3,3,AbiAlpha|Aristaios|CBASS,spot_3|spot_32|spot_49
GD170,TRUE,4960294,0,1,1,prophiGD170_2-1,60552,694721-754912,10,3,RM_I|RM_IIG,AbiAlpha|Butters_gp57r|CBASS|Dag|RM_Type_I|RM_Type_IIG|RloC|Uzume|Wadjet,AbiAlpha|Butters_gp57r|CBASS_I_TM|Dag|N6_RM_Type_I|N6_RM_Type_IIG|RloC|Uzume|Wadjet_I,16,1,3,26,NA,M. abscessus,massiliense,Christiana Care Health System,USA,32,0,0,DCC3,IA,1,NA,0,NA,0,R,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,4,7,Butters_gp57r|CBASS|RM_Type_I|RloC|Uzume|Wadjet,spot_13|spot_30|spot_63
GD171,TRUE,5089320,1,2,2,prophiGD171_15-1|prophiGD171_4-1,43937|40443,15113-58924|277611-317489,9,3,RM_I|RM_IIG,AbiAlpha|Armada|DRT|RM_Type_I|RM_Type_IIG|RloC|Thoeris|Wadjet,AbiAlpha|Armada_Type_II|DRT9|N6_RM_Type_I|N6_RM_Type_IIG|RloC|Thoeris_VII|Wadjet_I,13,1,2,22,NA,M. abscessus,abscessus,UC San Diego Health,USA,33,0,0,DCC2,HN|HB,2,NA,0,NA,0,S,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,1,1,RM_Type_I,NA
GD172,TRUE,4803165,0,0,0,NA,NA,NA,5,1,RM_II,AbiAlpha|Gabija|RM_Type_II|Wadjet,AbiAlpha|DNA_met_RM_Type_II_PDDEXK|Gabija|Wadjet_I,12,1,1,17,NA,M. abscessus,abscessus,Maine Health,USA,33,3,0.0909,DCC4,NA,0,Muddy|Muddy_HRM-GD04|D29_HRM_GD40,3,D29,1,S,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,1,1,Gabija,spot_49
GD173,TRUE,5218475,0,2,2,prophiGD173_1-1|prophiGD173_2-1,56881|25294,489260-544496|6999-31210,8,2,RM_II|RM_III,AbiAlpha|AbiD|Aristaios|Dnd|Hna|RM_Type_II|RM_Type_III|Wadjet,AbiAlpha|AbiD|Aristaios|Dnd_ABCDE|Hna|N6_N4_RM_Type_III|N6_RM_Type_II_PDDEXK|Wadjet_I,12,1,2,20,NA,M. abscessus,abscessus,Toronto Western Hospital,NA,33,0,0,DCC1,HG|HH,2,NA,0,NA,0,S,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,3,5,AbiAlpha|AbiD|RM_Type_II|RM_Type_III|Wadjet,spot_104|spot_32
